18        ; Number of general header lines after this line
v1.0      ; TOLNet standardized format version for profile data
15        ; Number of profiles in this file
14        ; Number of data columns for all profiles
ALT, m, Altitude above sea level (center of sampling bin)                 ; Column 1
O3ND, molec.m-3, Ozone number density (measured)                          ; Column 2
O3NDUncert, molec.m-3, Ozone number density combined standard uncertainty ; Column 3
O3NDResol, m, Ozone number density standardized vertical resolution ; Column 4
Precision, %, Measurement precision                                       ; Column 5
ChRange, #, Channel range (1.0 to N.0, nearest-field to farthest-field)   ; Column 6
O3MR, ppbv, Ozone mixing ratio (derived)                                  ; Column 7
O3MRUncert, ppbv, Ozone mixing ratio combined standard uncertainty        ; Column 8
Press, hPa, Air pressure used to derive ozone mixing ratio                ; Column 9
PressUncert, hPa, Air pressure standard uncertainty                       ; Column 10
Temp, K, Air temperature used to derive ozone mixing ratio                ; Column 11
TempUncert, K, air temperature ratio standard uncertainty                 ; Column 12
AirND, molec.m-3, air number density used to derive ozone mixing ratio    ; Column 13
AirNDUncert, molec.m-3, Air number density standard uncertainty           ; Column 14
-9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999, -9999 ; Missing data values
5                                                           ; Number of general comments lines
NASA LaRC Mobile Ozone Lidar                                ; INSTRUMENT NAME
REDACTED REDACTED, NASA LaRC, REDACTED@REDACTED.COM         ; PI AND CONTACT INFO
JPL-TTM                                                     ; SITE NAME
-117.68300, 34.38330, 2285.00                               ; SITE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m) 
R0                                                          ; DATA REVISION # (if value >0 then provide text below)
#BEGIN PROFILE ;-------------------------------------------------------------------------------------------
13                                      ; Number of data header lines
667                                     ; NUMBER OF DATA LINES IN THIS PROFILE
2017-05-05, 19:37:29                    ; DATA PROCESSING DATE, TIME
LMOLparallel, O3 DIAL, 2016 Oct 17, (Contact G. Redacted Redacted.P.Redacted@Redacted.com); DATA PROCESSING VERSION
NOMINAL                                 ; RESULTS QUALITY (NOMINAL, FAIR, POOR)
2016-08-16, 19:31:50                    ; PROFILE DATE, TIME (UT) START
2016-08-16, 19:41:50                    ; PROFILE DATE, TIME (UT) END
2016-08-16, 19:36:50                    ; PROFILE DATE, TIME (UT) MEAN
Standard atmosphere monthly averaged number densities; SOURCE OF A PRIORI Press, Temp, AirND USED TO DERIVE OZONE MIXING RATIO
2017-05-05, 19:37:29                    ; SOURCE DATE, TIME (UT)
-117.68300, 34.38330, 2285.00           ; SOURCE LONGITUDE, LATITUDE, ELEVATION (degE, degN, m)
Please check the README file for additional comments and external data acknowledgement.; OPERATOR COMMENTS
Contact Operator for further detail on processing and data quality.; OPERATOR COMMENTS
ALT, O3ND, O3NDUncert, O3NDResol, Precision, ChRange, O3MR, O3MRUncert, Press, PressUncert, Temp, TempUncert, AirND, AirNDUncert ; Data variables short names for easy visual identification of data columns (separated by commas)
2742.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.382e+02, 3.691e+01, 2.898e+02, 1.449e+01, 1.845e+25, 9.223e+23,
2757.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.369e+02, 3.685e+01, 2.897e+02, 1.449e+01, 1.842e+25, 9.211e+23,
2772.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.357e+02, 3.678e+01, 2.896e+02, 1.448e+01, 1.840e+25, 9.199e+23,
2787.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.344e+02, 3.672e+01, 2.895e+02, 1.447e+01, 1.837e+25, 9.186e+23,
2802.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.331e+02, 3.666e+01, 2.894e+02, 1.447e+01, 1.835e+25, 9.174e+23,
2817.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.318e+02, 3.659e+01, 2.892e+02, 1.446e+01, 1.832e+25, 9.162e+23,
2832.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.306e+02, 3.653e+01, 2.891e+02, 1.446e+01, 1.830e+25, 9.149e+23,
2847.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.293e+02, 3.646e+01, 2.890e+02, 1.445e+01, 1.827e+25, 9.137e+23,
2862.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.280e+02, 3.640e+01, 2.889e+02, 1.444e+01, 1.825e+25, 9.125e+23,
2877.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.267e+02, 3.634e+01, 2.888e+02, 1.444e+01, 1.822e+25, 9.112e+23,
2892.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.255e+02, 3.627e+01, 2.887e+02, 1.443e+01, 1.820e+25, 9.100e+23,
2907.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.240e+02, 3.620e+01, 2.884e+02, 1.442e+01, 1.818e+25, 9.090e+23,
2922.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.227e+02, 3.614e+01, 2.883e+02, 1.442e+01, 1.816e+25, 9.078e+23,
2937.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.215e+02, 3.607e+01, 2.882e+02, 1.441e+01, 1.813e+25, 9.065e+23,
2952.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.202e+02, 3.601e+01, 2.881e+02, 1.440e+01, 1.811e+25, 9.053e+23,
2967.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.190e+02, 3.595e+01, 2.880e+02, 1.440e+01, 1.808e+25, 9.040e+23,
2982.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.177e+02, 3.589e+01, 2.879e+02, 1.439e+01, 1.805e+25, 9.027e+23,
2997.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.165e+02, 3.582e+01, 2.878e+02, 1.439e+01, 1.803e+25, 9.015e+23,
3012.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.152e+02, 3.576e+01, 2.877e+02, 1.438e+01, 1.800e+25, 9.002e+23,
3027.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.140e+02, 3.570e+01, 2.876e+02, 1.438e+01, 1.798e+25, 8.989e+23,
3042.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.127e+02, 3.564e+01, 2.875e+02, 1.437e+01, 1.795e+25, 8.977e+23,
3057.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.115e+02, 3.557e+01, 2.874e+02, 1.437e+01, 1.793e+25, 8.964e+23,
3072.5, -9999, -9999, -9999, -9999, -9999, -9999, -9999, 7.102e+02, 3.551e+01, 2.873e+02, 1.436e+01, 1.790e+25, 8.952e+23,
3087.5, 1.407e+18, 7.404e+16, 58.1, 0.87, 3.00, 78.69, 4.14, 7.090e+02, 3.545e+01, 2.872e+02, 1.436e+01, 1.788e+25, 8.939e+23,
3102.5, 1.407e+18, 7.407e+16, 58.1, 0.89, 3.00, 78.83, 4.15, 7.077e+02, 3.539e+01, 2.871e+02, 1.435e+01, 1.785e+25, 8.926e+23,
3117.5, 1.398e+18, 7.383e+16, 58.1, 0.92, 3.00, 78.41, 4.14, 7.065e+02, 3.532e+01, 2.870e+02, 1.435e+01, 1.783e+25, 8.914e+23,
3132.5, 1.385e+18, 7.348e+16, 58.1, 0.96, 3.00, 77.77, 4.13, 7.052e+02, 3.526e+01, 2.869e+02, 1.434e+01, 1.780e+25, 8.901e+23,
3147.5, 1.387e+18, 7.359e+16, 58.1, 0.98, 3.00, 78.05, 4.14, 7.040e+02, 3.520e+01, 2.868e+02, 1.434e+01, 1.778e+25, 8.888e+23,
3162.5, 1.403e+18, 7.402e+16, 58.1, 1.00, 3.00, 79.01, 4.17, 7.027e+02, 3.514e+01, 2.867e+02, 1.433e+01, 1.775e+25, 8.876e+23,
3177.5, 1.411e+18, 7.427e+16, 58.1, 1.02, 3.00, 79.57, 4.19, 7.015e+02, 3.507e+01, 2.865e+02, 1.433e+01, 1.773e+25, 8.863e+23,
3192.5, 1.398e+18, 7.373e+16, 62.5, 0.96, 3.00, 79.00, 4.17, 7.002e+02, 3.501e+01, 2.864e+02, 1.432e+01, 1.770e+25, 8.851e+23,
3207.5, 1.373e+18, 7.280e+16, 66.8, 0.91, 3.00, 77.65, 4.12, 6.990e+02, 3.495e+01, 2.863e+02, 1.432e+01, 1.768e+25, 8.838e+23,
3222.5, 1.354e+18, 7.217e+16, 69.0, 0.90, 3.00, 76.70, 4.09, 6.977e+02, 3.489e+01, 2.862e+02, 1.431e+01, 1.765e+25, 8.825e+23,
3237.5, 1.342e+18, 7.186e+16, 69.0, 0.93, 3.00, 76.14, 4.08, 6.965e+02, 3.482e+01, 2.861e+02, 1.431e+01, 1.763e+25, 8.813e+23,
3252.5, 1.339e+18, 7.179e+16, 69.0, 0.96, 3.00, 76.09, 4.08, 6.952e+02, 3.476e+01, 2.860e+02, 1.430e+01, 1.760e+25, 8.800e+23,
3267.5, 1.361e+18, 7.241e+16, 69.0, 0.97, 3.00, 77.47, 4.12, 6.939e+02, 3.470e+01, 2.859e+02, 1.430e+01, 1.757e+25, 8.787e+23,
3282.5, 1.377e+18, 7.285e+16, 69.0, 0.98, 3.00, 78.45, 4.15, 6.927e+02, 3.463e+01, 2.858e+02, 1.429e+01, 1.755e+25, 8.775e+23,
3297.5, 1.382e+18, 7.300e+16, 69.0, 1.00, 3.00, 78.85, 4.17, 6.914e+02, 3.457e+01, 2.857e+02, 1.429e+01, 1.752e+25, 8.762e+23,
3312.5, 1.381e+18, 7.301e+16, 69.0, 1.03, 3.00, 78.94, 4.17, 6.902e+02, 3.451e+01, 2.856e+02, 1.428e+01, 1.750e+25, 8.750e+23,
3327.5, 1.374e+18, 7.261e+16, 73.2, 0.97, 3.00, 78.61, 4.16, 6.889e+02, 3.445e+01, 2.855e+02, 1.428e+01, 1.747e+25, 8.737e+23,
3342.5, 1.356e+18, 7.193e+16, 77.4, 0.93, 3.00, 77.71, 4.12, 6.877e+02, 3.438e+01, 2.854e+02, 1.427e+01, 1.745e+25, 8.724e+23,
3357.5, 1.330e+18, 7.114e+16, 79.5, 0.93, 3.00, 76.36, 4.09, 6.864e+02, 3.432e+01, 2.853e+02, 1.427e+01, 1.742e+25, 8.712e+23,
3372.5, 1.325e+18, 7.100e+16, 79.5, 0.95, 3.00, 76.15, 4.08, 6.852e+02, 3.426e+01, 2.852e+02, 1.426e+01, 1.740e+25, 8.699e+23,
3387.5, 1.341e+18, 7.145e+16, 79.5, 0.97, 3.00, 77.19, 4.11, 6.840e+02, 3.420e+01, 2.851e+02, 1.425e+01, 1.737e+25, 8.687e+23,
3402.5, 1.363e+18, 7.205e+16, 79.5, 0.97, 3.00, 78.55, 4.16, 6.828e+02, 3.414e+01, 2.850e+02, 1.425e+01, 1.735e+25, 8.674e+23,
3417.5, 1.373e+18, 7.234e+16, 79.5, 0.99, 3.00, 79.25, 4.18, 6.816e+02, 3.408e+01, 2.849e+02, 1.425e+01, 1.732e+25, 8.661e+23,
3432.5, 1.395e+18, 7.297e+16, 79.5, 1.00, 3.00, 80.65, 4.22, 6.804e+02, 3.402e+01, 2.849e+02, 1.424e+01, 1.730e+25, 8.648e+23,
3447.5, 1.427e+18, 7.387e+16, 79.5, 1.00, 3.00, 82.61, 4.28, 6.792e+02, 3.396e+01, 2.848e+02, 1.424e+01, 1.727e+25, 8.635e+23,
3462.5, 1.445e+18, 7.439e+16, 79.5, 1.01, 3.00, 83.77, 4.32, 6.780e+02, 3.390e+01, 2.847e+02, 1.423e+01, 1.724e+25, 8.622e+23,
3477.5, 1.435e+18, 7.404e+16, 81.6, 1.00, 3.00, 83.34, 4.30, 6.768e+02, 3.384e+01, 2.846e+02, 1.423e+01, 1.722e+25, 8.610e+23,
3492.5, 1.431e+18, 7.374e+16, 85.8, 0.96, 3.00, 83.21, 4.29, 6.756e+02, 3.378e+01, 2.845e+02, 1.423e+01, 1.719e+25, 8.597e+23,
3507.5, 1.435e+18, 7.367e+16, 90.0, 0.90, 3.00, 83.58, 4.29, 6.744e+02, 3.372e+01, 2.845e+02, 1.422e+01, 1.717e+25, 8.584e+23,
3522.5, 1.445e+18, 7.396e+16, 90.0, 0.92, 3.00, 84.29, 4.32, 6.732e+02, 3.366e+01, 2.844e+02, 1.422e+01, 1.714e+25, 8.571e+23,
3537.5, 1.440e+18, 7.383e+16, 90.0, 0.94, 3.00, 84.12, 4.32, 6.720e+02, 3.360e+01, 2.843e+02, 1.422e+01, 1.712e+25, 8.558e+23,
3552.5, 1.450e+18, 7.414e+16, 90.0, 0.96, 3.00, 84.86, 4.34, 6.708e+02, 3.354e+01, 2.842e+02, 1.421e+01, 1.709e+25, 8.545e+23,
3567.5, 1.463e+18, 7.452e+16, 90.0, 0.97, 3.00, 85.74, 4.37, 6.696e+02, 3.348e+01, 2.841e+02, 1.421e+01, 1.706e+25, 8.532e+23,
3582.5, 1.473e+18, 7.482e+16, 90.0, 0.99, 3.00, 86.45, 4.39, 6.684e+02, 3.342e+01, 2.841e+02, 1.420e+01, 1.704e+25, 8.519e+23,
3597.5, 1.454e+18, 7.430e+16, 90.0, 1.03, 3.00, 85.46, 4.37, 6.672e+02, 3.336e+01, 2.840e+02, 1.420e+01, 1.701e+25, 8.506e+23,
3612.5, 1.439e+18, 7.371e+16, 94.3, 0.99, 3.00, 84.69, 4.34, 6.660e+02, 3.330e+01, 2.839e+02, 1.420e+01, 1.699e+25, 8.493e+23,
3627.5, 1.437e+18, 7.349e+16, 98.6, 0.95, 3.00, 84.71, 4.34, 6.648e+02, 3.324e+01, 2.838e+02, 1.419e+01, 1.696e+25, 8.480e+23,
3642.5, 1.436e+18, 7.339e+16, 100.7, 0.94, 3.00, 84.79, 4.34, 6.636e+02, 3.318e+01, 2.838e+02, 1.419e+01, 1.693e+25, 8.467e+23,
3657.5, 1.422e+18, 7.302e+16, 100.7, 0.97, 3.00, 84.12, 4.32, 6.624e+02, 3.312e+01, 2.837e+02, 1.418e+01, 1.691e+25, 8.454e+23,
3672.5, 1.408e+18, 7.264e+16, 100.7, 1.00, 3.00, 83.42, 4.30, 6.612e+02, 3.306e+01, 2.836e+02, 1.418e+01, 1.688e+25, 8.441e+23,
3687.5, 1.400e+18, 7.243e+16, 100.7, 1.03, 3.00, 83.07, 4.30, 6.600e+02, 3.300e+01, 2.835e+02, 1.418e+01, 1.686e+25, 8.428e+23,
3702.5, 1.400e+18, 7.235e+16, 102.9, 1.03, 3.00, 83.17, 4.30, 6.588e+02, 3.294e+01, 2.834e+02, 1.417e+01, 1.683e+25, 8.416e+23,
3717.5, 1.400e+18, 7.220e+16, 107.1, 0.99, 3.00, 83.29, 4.30, 6.576e+02, 3.288e+01, 2.834e+02, 1.417e+01, 1.681e+25, 8.403e+23,
3732.5, 1.392e+18, 7.184e+16, 111.4, 0.96, 3.00, 82.96, 4.28, 6.564e+02, 3.282e+01, 2.833e+02, 1.416e+01, 1.678e+25, 8.390e+23,
3747.5, 1.383e+18, 7.158e+16, 111.4, 0.98, 3.00, 82.52, 4.28, 6.552e+02, 3.276e+01, 2.832e+02, 1.416e+01, 1.675e+25, 8.377e+23,
3762.5, 1.382e+18, 7.158e+16, 111.4, 1.01, 3.00, 82.63, 4.28, 6.540e+02, 3.270e+01, 2.831e+02, 1.416e+01, 1.673e+25, 8.364e+23,
3777.5, 1.380e+18, 7.155e+16, 111.4, 1.03, 3.00, 82.66, 4.29, 6.528e+02, 3.264e+01, 2.831e+02, 1.415e+01, 1.670e+25, 8.351e+23,
3792.5, 1.371e+18, 7.116e+16, 115.6, 1.01, 3.00, 82.22, 4.27, 6.516e+02, 3.258e+01, 2.830e+02, 1.415e+01, 1.668e+25, 8.338e+23,
3807.5, 1.365e+18, 7.086e+16, 119.8, 0.98, 3.00, 81.99, 4.26, 6.504e+02, 3.252e+01, 2.829e+02, 1.414e+01, 1.665e+25, 8.325e+23,
3822.5, 1.371e+18, 7.097e+16, 121.9, 0.97, 3.00, 82.49, 4.27, 6.492e+02, 3.246e+01, 2.828e+02, 1.414e+01, 1.662e+25, 8.312e+23,
3837.5, 1.372e+18, 7.099e+16, 121.9, 0.99, 3.00, 82.64, 4.28, 6.481e+02, 3.240e+01, 2.827e+02, 1.414e+01, 1.660e+25, 8.299e+23,
3852.5, 1.364e+18, 7.079e+16, 121.9, 1.02, 3.00, 82.31, 4.27, 6.469e+02, 3.234e+01, 2.827e+02, 1.413e+01, 1.657e+25, 8.286e+23,
3867.5, 1.357e+18, 7.060e+16, 121.9, 1.04, 3.00, 81.99, 4.27, 6.457e+02, 3.228e+01, 2.826e+02, 1.413e+01, 1.655e+25, 8.273e+23,
3882.5, 1.360e+18, 7.062e+16, 124.0, 1.04, 3.00, 82.30, 4.28, 6.445e+02, 3.222e+01, 2.825e+02, 1.413e+01, 1.652e+25, 8.260e+23,
3897.5, 1.354e+18, 7.036e+16, 128.2, 1.01, 3.00, 82.10, 4.27, 6.433e+02, 3.216e+01, 2.824e+02, 1.412e+01, 1.649e+25, 8.247e+23,
3912.5, 1.346e+18, 7.002e+16, 132.5, 0.99, 3.00, 81.73, 4.25, 6.421e+02, 3.210e+01, 2.823e+02, 1.411e+01, 1.647e+25, 8.237e+23,
3927.5, 1.341e+18, 6.988e+16, 132.5, 1.02, 3.00, 81.52, 4.25, 6.410e+02, 3.205e+01, 2.822e+02, 1.411e+01, 1.645e+25, 8.225e+23,
3942.5, 1.334e+18, 6.965e+16, 134.6, 1.02, 3.00, 81.23, 4.24, 6.398e+02, 3.199e+01, 2.821e+02, 1.410e+01, 1.643e+25, 8.213e+23,
3957.5, 1.318e+18, 6.910e+16, 138.9, 1.01, 3.00, 80.36, 4.22, 6.387e+02, 3.194e+01, 2.820e+02, 1.410e+01, 1.640e+25, 8.201e+23,
3972.5, 1.298e+18, 6.844e+16, 143.2, 1.00, 3.00, 79.24, 4.18, 6.376e+02, 3.188e+01, 2.819e+02, 1.409e+01, 1.638e+25, 8.189e+23,
3987.5, 1.278e+18, 6.791e+16, 143.2, 1.04, 3.00, 78.15, 4.15, 6.365e+02, 3.182e+01, 2.818e+02, 1.409e+01, 1.636e+25, 8.178e+23,
4002.5, 1.282e+18, 6.802e+16, 143.2, 1.06, 3.00, 78.48, 4.17, 6.354e+02, 3.177e+01, 2.817e+02, 1.409e+01, 1.633e+25, 8.166e+23,
4017.5, 1.287e+18, 6.806e+16, 147.4, 1.03, 3.00, 78.91, 4.18, 6.342e+02, 3.171e+01, 2.816e+02, 1.408e+01, 1.631e+25, 8.154e+23,
4032.5, 1.281e+18, 6.781e+16, 151.6, 1.02, 3.00, 78.67, 4.17, 6.331e+02, 3.166e+01, 2.815e+02, 1.408e+01, 1.628e+25, 8.142e+23,
4047.5, 1.269e+18, 6.743e+16, 153.8, 1.03, 3.00, 78.02, 4.15, 6.320e+02, 3.160e+01, 2.814e+02, 1.407e+01, 1.626e+25, 8.130e+23,
4062.5, 1.265e+18, 6.733e+16, 153.8, 1.05, 3.00, 77.89, 4.15, 6.309e+02, 3.154e+01, 2.813e+02, 1.407e+01, 1.624e+25, 8.119e+23,
4077.5, 1.263e+18, 6.719e+16, 158.0, 1.03, 3.00, 77.87, 4.15, 6.298e+02, 3.149e+01, 2.812e+02, 1.406e+01, 1.621e+25, 8.107e+23,
4092.5, 1.263e+18, 6.709e+16, 162.2, 1.02, 3.00, 77.98, 4.15, 6.286e+02, 3.143e+01, 2.811e+02, 1.406e+01, 1.619e+25, 8.095e+23,
4107.5, 1.263e+18, 6.707e+16, 164.3, 1.02, 3.00, 78.14, 4.15, 6.275e+02, 3.138e+01, 2.810e+02, 1.405e+01, 1.617e+25, 8.083e+23,
4122.5, 1.261e+18, 6.701e+16, 164.3, 1.04, 3.00, 78.09, 4.15, 6.264e+02, 3.132e+01, 2.809e+02, 1.405e+01, 1.614e+25, 8.071e+23,
4137.5, 1.251e+18, 6.666e+16, 168.6, 1.03, 3.00, 77.58, 4.14, 6.253e+02, 3.126e+01, 2.808e+02, 1.404e+01, 1.612e+25, 8.060e+23,
